date,days_since_invasion,estimate,ci_lower,ci_upper,pi_low,pi_high,type,country
2025-07-30,1252,1035523.205403729,990938.8603667316,1082113.503539986,903221.1964614961,1187204.5535753362,casualties,russia
2025-07-29,1251,1034390.6188300668,989896.086560429,1080885.1300211994,902185.4873688075,1185968.9408492772,casualties,russia
2025-07-28,1250,1033153.2737168163,988740.6865872387,1079560.8050973273,901049.245470247,1184625.2712342383,casualties,russia
2025-07-27,1249,1031884.2978162856,987548.0141284727,1078211.0758272668,899881.7117592606,1183250.2136466273,casualties,russia
2025-07-26,1248,1030581.0783647938,986320.1318527667,1076828.228222684,898681.8138440097,1181839.187600802,casualties,russia
2025-07-25,1247,1029324.5930246805,985139.6693542863,1075491.2748784132,897525.9490203076,1180477.4484046132,casualties,russia
2025-07-24,1246,1028102.3502182661,983988.4456513368,1074193.9604137035,896400.7402385625,1179153.9365680572,casualties,russia
2025-07-23,1245,1026964.7796499924,982933.0926263076,1072968.9302715021,895358.1700148182,1177915.9495301375,casualties,russia
2025-07-22,1244,1025991.1117353425,982050.9541637757,1071897.313408323,894471.9835144291,1176848.2260975672,casualties,russia
2025-07-21,1243,1025091.6445763571,981240.4742165683,1070902.523610513,893654.6365226129,1175860.1592533377,casualties,russia
2025-07-20,1242,1024145.4534813422,980377.3402515062,1069867.5736297115,892791.8009044199,1174824.7618998995,casualties,russia
2025-07-19,1241,1023146.087991902,979453.2016606177,1068788.100082958,891876.886350915,1173735.909965947,casualties,russia
2025-07-18,1240,1022058.2909139596,978417.1027571574,1067646.052606538,890872.2945999565,1172562.194973549,casualties,russia
2025-07-17,1239,1020900.4415273352,977291.9688806168,1066454.8141884026,889796.5745742101,1171321.3776568177,casualties,russia
2025-07-16,1238,1019662.8140120948,976058.1307369103,1065215.530632233,888637.7271266051,1170006.934943387,casualties,russia
2025-07-15,1237,1018359.1539861995,974733.8580742815,1063936.987072857,887409.9516786366,1168631.7230069758,casualties,russia
2025-07-14,1236,1017031.2005363575,973370.5823429469,1062650.266857439,886155.1661438522,1167236.3418978455,casualties,russia
2025-07-13,1235,1015734.3952131636,972023.689769023,1061410.7730453392,884925.3162969571,1165879.642637448,casualties,russia
2025-07-12,1234,1014422.4055299265,970652.2127195597,1060166.413908442,883678.5407756381,1164510.419542583,casualties,russia
2025-07-11,1233,1013112.3540325719,969289.8987614436,1058916.1210522405,882435.7181099495,1163140.4712217306,casualties,russia
2025-07-10,1232,1011719.2974152949,967852.9331979522,1057573.8883134145,881117.5936406072,1161679.2196005452,casualties,russia
2025-07-09,1231,1010217.4914419027,966308.1543858497,1056122.131887001,879697.8801933518,1160102.2048660538,casualties,russia
2025-07-08,1230,1008634.1685297722,964683.6034858912,1054587.151497658,878202.3203065431,1158438.028879687,casualties,russia
2025-07-07,1229,1006978.3196825744,963004.0954411242,1052960.6041583708,876643.9982466999,1156690.0762570784,casualties,russia
2025-07-06,1228,1005327.3539044898,961342.2162490463,1051325.013797895,875094.0308275392,1154942.3519404852,casualties,russia
2025-07-05,1227,1003740.7916215219,959752.4112751674,1049745.3205826534,873606.7090901773,1153259.959857021,casualties,russia
2025-07-04,1226,1002248.1697102255,958270.9013685558,1048243.6727186415,872211.6693093737,1151671.6349811982,casualties,russia
2025-07-03,1225,1000906.8407744261,956961.6487904456,1046870.0722902069,870964.5689102446,1150235.6902653193,casualties,russia
2025-07-02,1224,999666.3572393898,955759.0480958017,1045590.759588097,869813.7016830249,1148904.464016849,casualties,russia
2025-07-01,1223,998469.0979958436,954597.0726487753,1044357.4285722993,868702.6253510191,1147620.0602686715,casualties,russia
2025-06-30,1222,997327.1252860966,953493.4769282158,1043175.8826985564,867644.2857249548,1146393.0912344754,casualties,russia
2025-06-29,1221,996205.879007258,952417.6667314655,1042007.2965933629,866607.47386233625,1145185.340488127,casualties,russia
2025-06-28,1220,995047.9038682842,951319.234168933,1040786.6250922879,865540.4491067749,1143933.0857853764,casualties,russia
2025-06-27,1219,993834.1467853364,950162.8014193085,1039512.7171913196,864420.5581325099,1142622.4534746807,casualties,russia
2025-06-26,1218,992473.4779638853,948845.6928762988,1038107.2643262536,863159.1008475916,1141161.150020383,casualties,russia
2025-06-25,1217,991080.1380344923,947503.6941255372,1036660.6981251669,861869.3826660146,1139662.0970747196,casualties,russia
2025-06-24,1216,989748.0070990531,946243.9732218805,1035252.1611035214,860643.2022631338,1138219.8158571965,casualties,russia
2025-06-23,1215,988392.893515668,944953.078304406,1033829.6522777781,859393.1478943259,1136756.2616692646,casualties,russia
2025-06-22,1214,987018.1046508756,943641.2399087787,1032388.89734845,858124.3463741156,1135272.2624742233,casualties,russia
2025-06-21,1213,985652.6138361437,942326.6251251218,1030970.6318404727,856860.7796662372,1133802.7458699222,casualties,russia
2025-06-20,1212,984280.2162206322,941014.9475212605,1029534.7035311719,855593.6615709158,1132322.0511068127,casualties,russia
2025-06-19,1211,983014.1984626926,939814.4074401153,1028199.7259520513,854427.5726125663,1130952.4286380352,casualties,russia
2025-06-18,1210,981757.1553398177,938619.3261161728,1026877.550102069,853268.9133895029,1129593.638913937,casualties,russia
2025-06-17,1209,980402.436616977,937324.9229598608,1025459.7058354196,852018.3910118566,1128131.708755557,casualties,russia
2025-06-16,1208,979083.8009830627,936057.0895282931,1024088.2770732042,850798.9285924956,1126711.7113627347,casualties,russia
2025-06-15,1207,977761.5553502458,934760.989845209,1022740.2304119758,849568.9614624444,1125297.340728328,casualties,russia
2025-06-14,1206,976429.9607174689,933432.6082645239,1021407.9686794577,848323.6032481025,1123881.8691779324,casualties,russia
2025-06-13,1205,975060.8407116733,932024.9772142,1020083.9492358376,847030.9855361875,1122442.6562479048,casualties,russia
2025-06-12,1204,973598.1815471031,930495.8921359056,1018697.173920476,845642.712196908,1120914.8837104135,casualties,russia
2025-06-11,1203,972070.1982735547,928880.8405550075,1017267.8576287391,844187.2908384344,1119325.7483331643,casualties,russia
2025-06-10,1202,970529.8664363825,927229.4585885765,1015852.5284641096,842713.3126254996,1117732.83154371,casualties,russia
2025-06-09,1201,968875.6195972735,925471.8511933385,1014315.142684345,841135.0253939439,1116015.923525381,casualties,russia
2025-06-08,1200,967244.6310506521,923752.9195118137,1012784.1199418715,839583.0200632286,1114317.7712166538,casualties,russia
2025-06-07,1199,965579.1408820328,922020.9615336779,1011195.1839497391,838005.0719092239,1112574.6111352365,casualties,russia
2025-06-06,1198,963919.1233723137,920318.3922317582,1009585.524227587,836439.3448951262,1110827.888615466,casualties,russia
2025-06-05,1197,962341.1095442936,918732.3810416581,1008019.8024231952,834960.6339709345,1109154.647308451,casualties,russia
2025-06-04,1196,960845.8190968962,917261.698569642,1006500.8675126375,833569.0335267804,1107556.4130527354,casualties,russia
2025-06-03,1195,959450.1605989651,915929.7447724295,1005038.4577445708,832282.273989756,1106048.5940909616,casualties,russia
2025-06-02,1194,958189.4812530606,914752.148132892,1003689.4687509527,831127.5564180568,1104676.5242000828,casualties,russia
2025-06-01,1193,956978.9178980571,913666.3046714871,1002344.8254919755,830031.9958931013,1103341.390912359,casualties,russia
2025-05-31,1192,955898.8777621024,912737.1869382143,1001101.6867355197,829066.2414552598,1102134.692325408,casualties,russia
2025-05-30,1191,954810.7618288645,911817.1061584662,999831.729174618,828097.9773561698,1100912.7151361015,casualties,russia
2025-05-29,1190,953729.6867206779,910891.1737088136,998582.9450333411,827132.489619598,1099703.2879019084,casualties,russia
2025-05-28,1189,952636.2137112266,909944.0341880122,997331.4564178076,826152.8194880213,1098484.1321201548,casualties,russia
2025-05-27,1188,951491.1369519088,908930.8217434086,996044.353641058,825120.6342675979,1097215.801058287,casualties,russia
2025-05-26,1187,950229.5355986184,907790.7002567963,994652.375994392,823976.4489605332,1095827.6724397053,casualties,russia
2025-05-25,1186,948920.4194788048,906589.2767238785,993228.1230021904,822783.7403335827,1094394.4868408935,casualties,russia
2025-05-24,1185,947580.1859641733,905351.593109173,991778.4685655147,821560.4106926715,1092930.257609907,casualties,russia
2025-05-23,1184,946257.1449793953,904132.9195503412,990343.9879242388,820353.6899650928,1091483.6049329983,casualties,russia
2025-05-22,1183,944915.0971985315,902939.4289905387,988842.1779696414,819141.8876226034,1089999.8717816425,casualties,russia
2025-05-21,1182,943593.4929629394,901805.0023449986,987318.527724268,817960.19664671,1088523.2424173756,casualties,russia
2025-05-20,1181,942291.6923259096,900696.1274419462,985808.3550382039,816798.6653030028,1087065.483623799,casualties,russia
2025-05-19,1180,940973.8687447932,899569.5699605186,984284.0062874948,815621.7275566745,1085591.2703898107,casualties,russia
2025-05-18,1179,939577.1549516468,898347.0694625322,982699.6146500949,814366.1564581746,1084039.697930404,casualties,russia
2025-05-17,1178,938145.4793963052,897087.5663233997,981082.5933200127,813077.2730558168,1082451.8007758148,casualties,russia
2025-05-16,1177,936734.3706081742,895845.4185518408,979489.6319110106,811806.6518784952,1080887.0602870458,casualties,russia
2025-05-15,1176,935336.4385507411,894584.4067362244,977944.9040623544,810539.1448525286,1079348.5860931512,casualties,russia
2025-05-14,1175,933974.8545253365,893339.137829862,976459.0074736942,809299.6916096007,1077856.6432662664,casualties,russia
2025-05-13,1174,932623.1588734345,892109.6433901314,974976.5566097945,808071.127466565,1076373.031027228,casualties,russia
2025-05-12,1173,931371.8163113426,891004.886045487,973567.6258297082,806943.1248577471,1074987.1217283518,casualties,russia
2025-05-11,1172,930230.989609415,890027.5022955664,972250.5842873025,805923.0446999549,1073712.5638123113,casualties,russia
2025-05-10,1171,929104.2511390352,889049.6304098052,970963.5329136602,804912.0558428616,1072458.4226417774,casualties,russia
2025-05-09,1170,927968.0759179749,888032.3898037467,969699.7546805082,803883.9630105041,1071205.2968252744,casualties,russia
2025-05-08,1169,926767.820281823,886918.6699889959,968407.4148291827,802787.0548456251,1069895.9452350792,casualties,russia
2025-05-07,1168,925454.9605571815,885648.8168862476,967050.2563538796,801572.9092824933,1068482.8750225236,casualties,russia
2025-05-06,1167,924087.3682189399,884300.941143032,965663.9224368088,800301.2263119136,1067020.1426220688,casualties,russia
2025-05-05,1166,922672.0104680836,882875.7964319771,964262.1418563771,798976.8102583771,1065517.4289352205,casualties,russia
2025-05-04,1165,921176.2237003528,881340.4073326102,962812.6599277834,797569.0923176003,1063940.068006553,casualties,russia
2025-05-03,1164,919584.3888793361,879696.32719211,961281.15861665,796068.2418944096,1062265.1185429427,casualties,russia
2025-05-02,1163,917955.1322524729,878019.1150354807,959707.6613777931,794533.6848509486,1060548.7408937414,casualties,russia
2025-05-01,1162,916353.9811569937,876389.5207210472,958140.910900691,793030.8666083444,1058854.987288212,casualties,russia
2025-04-30,1161,914833.5808100554,874855.6373039141,956638.4186631137,791607.6577051764,1057241.6008385601,casualties,russia
2025-04-29,1160,913339.5497532515,873340.1808765698,955170.9490112119,790206.9010410398,1055659.2178038193,casualties,russia
2025-04-28,1159,911820.4569551514,871783.8449545109,953695.794465926,788778.3749124631,1054056.0406935888,casualties,russia
2025-04-27,1158,910282.2902401956,870200.1941442238,952210.6572269197,787329.7708261994,1052435.643498699,casualties,russia
2025-04-26,1157,908789.594590424,868650.2896956028,950783.7767740258,785920.333977946,1050868.0923801137,casualties,russia
2025-04-25,1156,907298.4779302751,867082.6113327612,949379.7216985356,784506.9084833923,1049309.5874386954,casualties,russia
2025-04-24,1155,905809.7581820755,865490.5948833987,948007.3841672378,783088.1732898415,1047763.7800778642,casualties,russia
