IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",129,33,33,"33",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1300271
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",130,34,34,"34",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1320535
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",95,35,35,"35",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1294148
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",131,36,36,"36",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1257285.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",132,37,37,"37",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1246207.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",133,38,38,"38",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1204870
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",134,39,39,"39",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1079620.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",96,40,40,"40",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1092984.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",136,41,41,"41",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1131151
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",137,42,42,"42",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1068240
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",138,43,43,"43",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1029736.0000000001
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",139,44,44,"44",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1009111
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",97,45,45,"45",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1007643.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",140,46,46,"46",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",979668
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",141,47,47,"47",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",942179
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",142,48,48,"48",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",931209.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",143,49,49,"49",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",917519.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",98,50,50,"50",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",916833.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",144,51,51,"51",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",883346.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",145,52,52,"52",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",811840.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",146,53,53,"53",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",780657
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",147,54,54,"54",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",777221.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",99,55,55,"55",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",804389.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",148,56,56,"56",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",839588
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",149,57,57,"57",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",866351.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",150,58,58,"58",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",890403
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",643,"Russian Federation","RU","RUS",72,"2021",4,"Median",1,"Male",151,59,59,"59",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",908863
