date,estimate_low,estimate_high,estimate,type,source,source_url,country,"ignore for chart, data from warring parties"
30/05/2025,191000,269000,,deaths,BBC Russia,https://www.bbc.com/russian/articles/cy4k7q1w35ko?ocid=wsrussian.social.in-app-messaging.telegram..russiantelegram_.edit&fbclid=IwY2xjawKmLgdleHRuA2FlbQIxMABicmlkETE2NFllYkdKdkpmQTdta1ZuAR4zmMdW1Ic00lvkv3bwR10e80O_uAfOqwhLz4uVrSrdycRRc1ZvhM6fRklhkg_aem_4bxtcs-NHTuypKoeCXUufg,russia,
03/05/2025,,,950000,casualties,UK MoD,https://x.com/DefenceHQ/status/1918563185390502173,russia,
18/03/2025,"750,000",,,casualties,US intelligence services,https://www.dni.gov/files/ODNI/documents/assessments/ATA-2025-Unclassified-Report.pdf,russia,
30/05/2025,70935,135930,,deaths,UAlosses,"https://ualosses.org/en/soldiers/ (note, one should exclude pre-invasion deaths from total dead to get this estimate, which is dead for low end and dead + missing for high end)",ukraine,
23/04/2022,7000,15000,,deaths,NATO officials (via WP),https://www.washingtonpost.com/world/2022/03/24/russia-troops-casualties-nato-ukraine/,russia,
23/04/2022,30000,40000,,casualties,NATO officials (via WP),https://www.washingtonpost.com/world/2022/03/24/russia-troops-casualties-nato-ukraine/,russia,
12/06/2025,,,1000000,casualties,UK MoD,https://x.com/DefenceHQ/status/1933073278408478992/photo/1,russia,
12/06/2025,,,250000,deaths,UK MoD,https://x.com/DefenceHQ/status/1933073278408478992/photo/1,russia,
01/05/2025,200000,250000,,deaths,CSIS,https://www.csis.org/analysis/russias-battlefield-woes-ukraine,russia,
03/12/2025,250000,,,deaths,UK MoD,https://x.com/DefenceHQ/status/1996271455126892684,russia,
01/07/2025,200000,220000,,deaths,Mediazona; Meduza (cumulative),https://meduza.io/en/feature/2025/11/04/how-many-soldiers-have-russia-and-ukraine-lost-and-how-do-their-armies-compare,russia,
31/12/2025,,,"1,200,000",casualties,CSIS,https://www.csis.org/analysis/russias-grinding-war-ukraine,russia,
31/12/2025,275000,325000,,deaths,CSIS,https://www.csis.org/analysis/russias-grinding-war-ukraine,russia,
31/12/2025,500000,600000,,casualties,CSIS,https://www.csis.org/analysis/russias-grinding-war-ukraine,ukraine,
31/12/2025,100000,140000,,deaths,CSIS,https://www.csis.org/analysis/russias-grinding-war-ukraine,ukraine,
26/01/2026,,,1225000,casualties,UK MoD,https://x.com/DefenceHQ/status/2015730587479278032/photo/1,russia,
